ISSN(Online),ISSN(Print),journal
"
","0017671
",The African journal of psychiatry
"
","5678854
",The African journal of psychiatry
"
","3601293
",The African journal of psychiatry
"
","5678714
",The African journal of psychiatry
"18736327
","3064603
",The African journal of psychiatry
"19333889
","1473956
",The African journal of psychiatry
"
",,The African journal of psychiatry
"15444376
","3643107
",The African journal of psychiatry
"
","0940267
",The African journal of psychiatry
"
","0018392
",The African journal of psychiatry
"
","0018449
",The African journal of psychiatry
"
","0018481
",The African journal of psychiatry
"
","3015556
",The African journal of psychiatry
"
","0652164
",The African journal of psychiatry
"
","0901180
",The African journal of psychiatry
"
","0652229
",The African journal of psychiatry
"
","0652245
",The African journal of psychiatry
"
","1482165
",The African journal of psychiatry
"16168542
","7246145
",The African journal of psychiatry
"
","0652253
",The African journal of psychiatry
"
","0652261
",The African journal of psychiatry
"18734618
","065227X
",The African journal of psychiatry
"21625557
","065230X
",The African journal of psychiatry
"21625530
","0652318
",The African journal of psychiatry
"16622839
","0652326
",The African journal of psychiatry
"
","0652334
",The African journal of psychiatry
"
","0652369
",The African journal of psychiatry
"
","5679877
",The African journal of psychiatry
"
","0652407
",The African journal of psychiatry
"
","2674874
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652415
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"21629471
","0652423
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","3032671
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","065244X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","7477767
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0845930
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0845949
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652490
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"18732437
","0652571
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"19344694
","065258X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"22148019
","0652598
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","567994X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","7312199
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0446173
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652628
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","1782134
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652660
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652709
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","1499483
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"15578429
","0652725
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","065275X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"15578445
","0652776
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","1900218
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652822
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652849
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652903
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"21625468
","0652911
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0845957
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0652962
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0913952
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0018724
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","2703106
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653004
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653020
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"16622847
","0653071
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","3615952
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"21636079
","065308X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0991147
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"18781926
","0653101
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","5680107
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653136
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653144
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","260647X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"15578941
","0653233
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","7328141
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
